pause002,pause003,pause0031,pause0031.1,pause0031_,pause0031_.1,pause0032,pause0032_,pause0033,pause0033.1,pause0033_,pause0035,pause004,pause004_,pause004_.1,pause0043,pause0043_,pause0045,pause0045_,pause0047,pause005,pause02,pause02_,pause01
2504.0,99.0,1026.0,1026.0,2427.0,2409.0,166.0,36,64.0,64.0,100.0,99.0,4283.0,99.0,101.0,68.0,3614.0,103,66.0,102.0,99.0,206.0,2149.0,565.0
5306.0,66.0,995.0,995.0,2430.0,2411.0,131.0,35,33.0,33.0,68.0,68.0,4219.0,67.0,34.0,47.0,3545.0,47,49.0,49.0,53.0,203.0,1983.0,397.0
,68.0,1269.0,1269.0,2434.0,2409.0,134.0,35,67.0,67.0,34.0,33.0,4150.0,37.0,41.0,44.0,5395.0,53,48.0,50.0,50.0,201.0,1785.0,266.0
,68.0,1268.0,1268.0,2438.0,2410.0,138.0,36,78.0,78.0,36.0,40.0,4113.0,43.0,41.0,45.0,5362.0,48,49.0,51.0,52.0,200.0,1602.0,134.0
,65.0,1272.0,1272.0,8182.0,2408.0,132.0,37,67.0,67.0,36.0,38.0,4082.0,41.0,43.0,47.0,5295.0,47,51.0,50.0,52.0,201.0,1437.0,103.0
,65.0,1283.0,1283.0,10153.0,2408.0,99.0,33,34.0,34.0,35.0,41.0,4013.0,41.0,43.0,46.0,5260.0,49,47.0,48.0,54.0,202.0,1268.0,105.0
,67.0,1274.0,1274.0,11206.0,2412.0,103.0,35,34.0,34.0,33.0,38.0,3978.0,42.0,45.0,35.0,5201.0,44,46.0,48.0,52.0,202.0,1100.0,104.0
,66.0,1272.0,1272.0,11467.0,2405.0,102.0,32,38.0,38.0,36.0,36.0,3914.0,42.0,44.0,47.0,5160.0,47,46.0,49.0,52.0,,932.0,102.0
,99.0,1276.0,1276.0,11473.0,2408.0,99.0,33,34.0,34.0,33.0,37.0,3882.0,40.0,46.0,49.0,5093.0,46,49.0,50.0,52.0,,768.0,102.0
,99.0,1275.0,1275.0,12584.0,2439.0,101.0,35,35.0,35.0,34.0,38.0,3851.0,40.0,43.0,44.0,5062.0,46,49.0,49.0,53.0,,599.0,102.0
