0,Unnamed: 1,100,20,50,30,33,35,40,43,31,32,33.1,31.1,32.1,31.1.1,20.1,45,40.1,45.1,40.1.1,43.1,47,20.1.1,30.1,31.1.1.1,32.1.1,33.1.1,34,35.1,36,50.1,50.1.1,20.1.1.1,40.1.1.1,43.1.1,45.1.1,47.1,100.1,20.1.1.1.1,200,50.1.1.1,32.1.1.1,33.1.1.1,33.1.1.1.1,34.1,35.1.1,36.1,37,38,30.1.1,31.1.1.1.1,32.1.1.1.1,33.1.1.1.1.1,34.1.1,35.1.1.1,36.1.1,37.1,38.1,39,100.1.1,45.1.1.1,47.1.1,50.1.1.1.1,20.1.1.1.1.1,200.1,30.1.1.1,31.1.1.1.1.1,33.1.1.1.1.1.1,34.1.1.1,35.1.1.1.1,36.1.1.1,37.1.1,37.1.1.1,38.1.1,39.1,37.1.1.1.1,38.1.1.1,38.1.1.1.1,39.1.1,39.1.1.1,40.1.1.1.1,43.1.1.1,45.1.1.1.1,47.1.1.1,100.1.1.1,20.1.1.1.1.1.1,200.1.1,33.1.1.1.1.1.1.1,34.1.1.1.1,47.1.1.1.1,50.1.1.1.1.1,100.1.1.1.1,200.1.1.1,50.1.1.1.1.1.1,200.1.1.1.1,39.1.1.1.1,40.1.1.1.1.1,43.1.1.1.1,36.1.1.1.1,36.1.1.1.1.1,30.1.1.1.1,30.1.1.1.1.1,32.1.1.1.1.1,35
,,565.0,2504.0,99.0,99.0,64.0,99.0,101.0,68.0,1026.0,166.0,100.0,2427.0,36.0,2409.0,206.0,103.0,4283.0,66.0,99.0,3614.0,102.0,,,,,,134.0,,,,,2972.0,99.0,1784.0,67,3444.0,1770.0,6208.0,899.0,101.0,100.0,,100.0,100.0,3068.0,67.0,34.0,67.0,540.0,1016.0,101.0,1820.0,134.0,104.0,66.0,1580.0,1768.0,70.0,68.0,1103.0,872.0,211.0,1922.0,95.0,101.0,33.0,99.0,1045.0,240.0,1376.0,1937.0,740.0,98.0,69.0,134.0,135.0,99.0,65.0,67.0,64.0,600.0,101.0,68.0,102.0,305.0,1574.0,702.0,1929.0,134.0,99.0,2186.0,67.0,97.0,656.0,100.0,99.0,67.0,164.0,135.0,132.0,132.0,314.0,874.0
,,397.0,5306.0,53.0,66.0,33.0,68.0,34.0,47.0,995.0,131.0,68.0,2430.0,35.0,2411.0,203.0,47.0,4219.0,49.0,67.0,3545.0,49.0,,,,,,97.0,,,,,11867.0,37.0,1706.0,50,3343.0,1604.0,8380.0,767.0,53.0,66.0,,67.0,69.0,3034.0,39.0,41.0,42.0,471.0,1030.0,66.0,1786.0,67.0,62.0,36.0,1514.0,1701.0,41.0,102.0,1035.0,801.0,380.0,3896.0,204.0,101.0,34.0,31.0,1006.0,250.0,1310.0,1872.0,703.0,33.0,42.0,68.0,67.0,33.0,42.0,42.0,43.0,533.0,46.0,50.0,103.0,971.0,1434.0,672.0,1900.0,34.0,52.0,2073.0,205.0,53.0,1445.0,33.0,40.0,47.0,98.0,99.0,135.0,135.0,332.0,807.0
,,266.0,,50.0,68.0,67.0,33.0,41.0,44.0,1269.0,134.0,34.0,2434.0,35.0,2409.0,201.0,53.0,4150.0,48.0,37.0,5395.0,50.0,,,,,,68.0,,,,,,43.0,1939.0,47,3311.0,1435.0,,634.0,54.0,33.0,,67.0,32.0,3003.0,40.0,43.0,44.0,467.0,1037.0,68.0,1785.0,65.0,66.0,39.0,1480.0,1669.0,43.0,105.0,965.0,736.0,372.0,11728.0,204.0,99.0,35.0,32.0,974.0,267.0,1311.0,1838.0,639.0,41.0,186.0,33.0,34.0,42.0,41.0,39.0,45.0,467.0,48.0,50.0,103.0,9942.0,1270.0,636.0,1863.0,50.0,72.0,1907.0,201.0,52.0,1419.0,43.0,42.0,47.0,68.0,68.0,170.0,135.0,300.0,806.0
,,134.0,,52.0,68.0,78.0,40.0,41.0,45.0,1268.0,138.0,36.0,2438.0,36.0,2410.0,200.0,48.0,4113.0,49.0,43.0,5362.0,51.0,,,,,,33.0,,,,,,45.0,1840.0,47,3312.0,1267.0,,465.0,53.0,34.0,,35.0,35.0,2994.0,37.0,40.0,40.0,472.0,1038.0,32.0,1753.0,34.0,33.0,40.0,1448.0,1632.0,41.0,103.0,897.0,668.0,373.0,20240.0,203.0,103.0,34.0,34.0,970.0,266.0,1277.0,1807.0,637.0,42.0,43.0,39.0,42.0,40.0,41.0,42.0,44.0,400.0,49.0,52.0,103.0,20583.0,1102.0,634.0,1832.0,51.0,53.0,1774.0,203.0,53.0,1419.0,44.0,44.0,48.0,36.0,33.0,1945.0,368.0,300.0,769.0
,,103.0,,52.0,65.0,67.0,38.0,43.0,47.0,1272.0,132.0,36.0,8182.0,37.0,2408.0,201.0,47.0,4082.0,51.0,41.0,5295.0,50.0,,,,,,34.0,,,,,,44.0,1776.0,47,3277.0,1099.0,,335.0,53.0,38.0,,33.0,39.0,2959.0,39.0,40.0,44.0,474.0,1038.0,34.0,1752.0,39.0,37.0,41.0,1411.0,1596.0,42.0,103.0,833.0,602.0,369.0,,204.0,100.0,39.0,36.0,937.0,269.0,1238.0,1802.0,598.0,41.0,44.0,41.0,44.0,41.0,43.0,42.0,45.0,367.0,49.0,49.0,103.0,,936.0,602.0,1829.0,49.0,55.0,1638.0,203.0,53.0,1421.0,44.0,43.0,45.0,40.0,37.0,4050.0,599.0,300.0,736.0
,,105.0,,54.0,65.0,34.0,41.0,43.0,46.0,1283.0,99.0,35.0,10153.0,33.0,2408.0,202.0,49.0,4013.0,47.0,41.0,5260.0,48.0,,,,,,36.0,,,,,,43.0,1741.0,48,3245.0,930.0,,344.0,52.0,36.0,,33.0,36.0,2928.0,40.0,40.0,41.0,469.0,1034.0,35.0,1750.0,37.0,38.0,38.0,1377.0,1531.0,42.0,103.0,763.0,535.0,374.0,,202.0,101.0,34.0,37.0,935.0,273.0,1208.0,1767.0,566.0,39.0,42.0,41.0,40.0,40.0,42.0,40.0,42.0,299.0,50.0,51.0,103.0,,769.0,601.0,1796.0,49.0,51.0,1502.0,204.0,51.0,1422.0,43.0,41.0,46.0,39.0,40.0,6129.0,596.0,266.0,703.0
,,104.0,,52.0,67.0,34.0,38.0,45.0,35.0,1274.0,103.0,33.0,11206.0,35.0,2412.0,202.0,44.0,3978.0,46.0,42.0,5201.0,48.0,,,,,,38.0,,,,,,41.0,1675.0,49,3784.0,765.0,,720.0,52.0,34.0,,36.0,37.0,2927.0,38.0,38.0,42.0,467.0,1069.0,34.0,1723.0,36.0,37.0,37.0,1339.0,1498.0,42.0,101.0,733.0,467.0,369.0,,203.0,98.0,34.0,37.0,901.0,264.0,1208.0,1732.0,531.0,42.0,42.0,40.0,40.0,40.0,41.0,40.0,42.0,235.0,46.0,49.0,102.0,,606.0,599.0,1794.0,50.0,51.0,1370.0,201.0,51.0,1418.0,41.0,43.0,45.0,38.0,39.0,10003.0,632.0,265.0,705.0
,,102.0,,52.0,66.0,38.0,36.0,44.0,47.0,1272.0,102.0,36.0,11467.0,32.0,2405.0,,47.0,3914.0,46.0,42.0,5160.0,49.0,,,,,,39.0,,,,,,45.0,1599.0,48,3750.0,595.0,,720.0,51.0,34.0,,37.0,37.0,2896.0,38.0,39.0,40.0,370.0,1067.0,36.0,1713.0,39.0,37.0,38.0,1305.0,1467.0,42.0,103.0,669.0,400.0,369.0,,201.0,98.0,35.0,34.0,903.0,263.0,1170.0,1701.0,467.0,41.0,39.0,41.0,41.0,40.0,41.0,41.0,44.0,200.0,48.0,51.0,102.0,,437.0,568.0,1761.0,50.0,55.0,1238.0,203.0,54.0,1422.0,42.0,41.0,46.0,40.0,40.0,,768.0,266.0,674.0
,,102.0,,52.0,99.0,34.0,37.0,46.0,49.0,1276.0,99.0,33.0,11473.0,33.0,2408.0,,46.0,3882.0,49.0,40.0,5093.0,50.0,,,,,,39.0,,,,,,42.0,1569.0,48,3952.0,430.0,,721.0,54.0,36.0,,34.0,36.0,2864.0,39.0,40.0,42.0,366.0,1407.0,34.0,1713.0,35.0,37.0,38.0,1305.0,1436.0,42.0,104.0,604.0,332.0,366.0,,202.0,101.0,35.0,34.0,870.0,267.0,1136.0,1668.0,433.0,41.0,43.0,40.0,41.0,41.0,41.0,42.0,42.0,132.0,48.0,50.0,102.0,,376.0,567.0,1730.0,50.0,51.0,1102.0,202.0,55.0,1422.0,42.0,42.0,46.0,40.0,38.0,,969.0,267.0,642.0
,,102.0,,53.0,99.0,35.0,38.0,43.0,44.0,1275.0,101.0,34.0,12584.0,35.0,2439.0,,46.0,3851.0,49.0,40.0,5062.0,49.0,,,,,,36.0,,,,,,45.0,1504.0,50,3920.0,266.0,,717.0,52.0,34.0,,35.0,36.0,2832.0,38.0,41.0,40.0,365.0,1475.0,33.0,1681.0,38.0,38.0,37.0,1272.0,1403.0,41.0,103.0,538.0,266.0,370.0,,205.0,100.0,35.0,35.0,835.0,264.0,1138.0,1635.0,401.0,38.0,42.0,40.0,41.0,42.0,42.0,41.0,43.0,66.0,45.0,50.0,104.0,,1186.0,535.0,1696.0,51.0,53.0,967.0,204.0,52.0,1419.0,42.0,42.0,45.0,38.0,39.0,,1208.0,266.0,640.0
