0,Unnamed: 1,50,50.1,50.1.1,100,20,30,31,32,33,35,40,43,45,47,50.1.1.1,200,20.1,30.1,36,37,38,39,40.1,41,43.1,45.1,47.1,31.1,32.1,50.1.1.1.1,100.1,200.1,33.1,34,35.1,30.1.1,31.1.1,32.1.1,33.1.1,34.1,35.1.1,36.1,37.1,38.1,39.1,40.1.1,43.1.1,45.1.1,47.1.1,100.1.1,200.1.1,20.1.1,34.1.1,36.1.1,37.1.1,38.1.1,39.1.1,30.1.1.1,30.1.1.1.1,31.1.1.1,36.1.1.1,37.1.1.1,38.1.1.1,39.1.1.1,40.1.1.1,43.1.1.1,45.1.1.1,47.1.1.1,50.1.1.1.1.1,100.1.1.1,200.1.1.1,20.1.1.1,31.1.1.1.1,32.1.1.1,20.1.1.1.1,33.1.1.1,34.1.1.1,35.1.1.1,36.1.1.1.1,37.1.1.1.1,38.1.1.1.1,39.1.1.1.1,40.1.1.1.1,43.1.1.1.1,45.1.1.1.1,201,202,203,47
,,1268.0,11031.0,1600.0,1326.0,,3615.0,2341.0,2316.0,2668.0,3865.0,934.0,1149.0,1333.0,1109,1843.0,1312.0,,3898.0,1633.0,2776.0,2204.0,1870.0,1034.0,1670.0,3800.0,3632.0,1940.0,2477.0,1638.0,2778.0,3427.0,1970.0,3295.0,2686.0,3643.0,3291.0,10118.0,9024.0,2716.0,1321.0,9201.0,2342.0,1279.0,1096.0,12552.0,10429.0,1541.0,1649.0,1771.0,600.0,9023.0,,7331.0,3360.0,7688.0,10133.0,1535.0,4686.0,4786.0,2240.0,2594.0,11108.0,3432.0,2520.0,1134.0,1073.0,1106.0,3014.0,1883.0,2339.0,2832.0,,2834.0,2544.0,7697.0,2773.0,4694.0,1236.0,1276.0,1768.0,1219.0,986.0,4467.0,2597.0,1576.0,1100.0,,2746.0,2303.0
,,1202.0,10966.0,1535.0,1193.0,,7312.0,5893.0,2348.0,2668.0,4796.0,899.0,1082.0,1301.0,1076,1779.0,1136.0,,10555.0,1636.0,2744.0,2169.0,1837.0,1000.0,1608.0,3731.0,3595.0,1878.0,5833.0,1635.0,2709.0,3294.0,1803.0,3292.0,2684.0,3643.0,6443.0,,9561.0,2713.0,1316.0,9266.0,2310.0,1242.0,1062.0,12553.0,10395.0,1508.0,1609.0,1736.0,469.0,8858.0,,7361.0,3354.0,7691.0,10133.0,1502.0,9299.0,7837.0,4479.0,2558.0,11142.0,3396.0,2487.0,1102.0,1040.0,1073.0,2945.0,1819.0,2205.0,2665.0,,3434.0,2608.0,,2772.0,4694.0,1237.0,1244.0,1736.0,1210.0,949.0,4402.0,2580.0,1541.0,1035.0,,2577.0,2237.0
,,1136.0,10933.0,1467.0,1034.0,,13039.0,,3758.0,2668.0,4792.0,863.0,1044.0,1233.0,1006,1710.0,967.0,,17980.0,1594.0,2745.0,2164.0,1804.0,968.0,1576.0,3693.0,3520.0,1846.0,9031.0,1634.0,2641.0,3153.0,1635.0,3296.0,2683.0,3647.0,13196.0,,11337.0,2713.0,1312.0,9295.0,2308.0,1209.0,1056.0,12554.0,10361.0,1471.0,1540.0,1672.0,334.0,8723.0,,7393.0,3319.0,7721.0,10165.0,1468.0,,,7096.0,2557.0,11111.0,3365.0,2454.0,1069.0,974.0,1007.0,2909.0,1741.0,2071.0,2496.0,,6504.0,3750.0,,2769.0,4693.0,1237.0,1242.0,1705.0,1173.0,915.0,4369.0,2512.0,1471.0,967.0,,2409.0,2208.0
,,1068.0,10862.0,1399.0,900.0,,19532.0,,6101.0,2668.0,4795.0,832.0,973.0,1201.0,937,1644.0,802.0,,,1601.0,2710.0,2132.0,1765.0,931.0,1538.0,3628.0,3494.0,1776.0,14626.0,1633.0,2574.0,3020.0,1468.0,3296.0,2652.0,3615.0,,,,2815.0,1315.0,9596.0,2272.0,1208.0,1024.0,12554.0,10394.0,1405.0,1506.0,1606.0,201.0,8557.0,,7425.0,3317.0,7720.0,10167.0,1435.0,,,11521.0,2522.0,11175.0,3333.0,2421.0,1001.0,940.0,941.0,2845.0,1678.0,1937.0,2335.0,,10435.0,5890.0,,2764.0,4691.0,1238.0,1248.0,1704.0,1140.0,885.0,4370.0,2477.0,1403.0,899.0,,2242.0,2139.0
,,1002.0,10827.0,1333.0,767.0,,,,6507.0,2670.0,4757.0,800.0,937.0,1134.0,869,1582.0,636.0,,,1571.0,2678.0,2099.0,1738.0,866.0,1511.0,3595.0,3426.0,1712.0,,1636.0,2510.0,2885.0,1303.0,3299.0,2882.0,3611.0,,,,3553.0,1316.0,9600.0,2276.0,1174.0,1003.0,12555.0,10360.0,1372.0,1436.0,1539.0,88.0,8388.0,,7486.0,3284.0,7720.0,10202.0,1401.0,,,,2518.0,11179.0,3333.0,2389.0,967.0,907.0,900.0,2774.0,1616.0,1805.0,2167.0,,,8164.0,,2765.0,4656.0,1238.0,1201.0,1671.0,1102.0,841.0,4333.0,2448.0,1367.0,832.0,,2076.0,2074.0
,,934.0,10761.0,1266.0,633.0,,,,7748.0,2667.0,4757.0,764.0,904.0,1067.0,838,1511.0,469.0,,,1569.0,2679.0,2068.0,1701.0,835.0,1480.0,3559.0,3392.0,1644.0,,2108.0,2442.0,2754.0,1132.0,3298.0,2888.0,3583.0,,,,4217.0,1314.0,9568.0,2241.0,1172.0,974.0,12557.0,10356.0,1306.0,1369.0,1472.0,103.0,8218.0,,7523.0,3284.0,7755.0,10168.0,1369.0,,,,2483.0,11179.0,3300.0,2356.0,934.0,841.0,840.0,2706.0,1549.0,1674.0,1998.0,,,10648.0,,2764.0,4655.0,1207.0,1204.0,1641.0,1101.0,809.0,4269.0,2381.0,1299.0,767.0,,1911.0,2006.0
,,869.0,10725.0,1201.0,502.0,,,,9337.0,2667.0,4755.0,735.0,837.0,1037.0,770,1445.0,300.0,,,1535.0,2649.0,2034.0,1666.0,802.0,1431.0,3492.0,3326.0,1604.0,,3756.0,2377.0,2622.0,967.0,3297.0,2885.0,3581.0,,,,4218.0,1335.0,9569.0,2241.0,1137.0,938.0,12555.0,10358.0,1273.0,1336.0,1438.0,101.0,8050.0,,7523.0,3247.0,7754.0,10199.0,1333.0,,,,2483.0,11215.0,3265.0,2356.0,900.0,806.0,807.0,2670.0,1482.0,1539.0,1831.0,,,,,2760.0,4655.0,1218.0,1574.0,1649.0,1072.0,808.0,4237.0,2346.0,1231.0,698.0,,1742.0,1947.0
,,800.0,10688.0,1136.0,369.0,,,,11566.0,2666.0,4755.0,706.0,801.0,969.0,705,1378.0,136.0,,,1534.0,2619.0,2036.0,1631.0,767.0,1382.0,3461.0,3290.0,1540.0,,5228.0,2316.0,2488.0,800.0,4417.0,2890.0,3580.0,,,,4219.0,1317.0,9571.0,2207.0,1102.0,906.0,12590.0,10359.0,1240.0,1273.0,1371.0,100.0,7884.0,,7556.0,3245.0,7752.0,10200.0,1300.0,,,,2450.0,11217.0,3231.0,2319.0,864.0,740.0,739.0,2608.0,1411.0,1406.0,1666.0,,,,,2768.0,4654.0,1209.0,1576.0,1614.0,1036.0,772.0,4200.0,2314.0,1199.0,633.0,,1577.0,1920.0
,,701.0,10659.0,1071.0,240.0,,,,12469.0,2665.0,4724.0,640.0,772.0,938.0,641,1310.0,198.0,,,1504.0,2613.0,2004.0,1598.0,735.0,1347.0,3427.0,3222.0,1474.0,,8304.0,2249.0,2353.0,632.0,4419.0,2990.0,3579.0,,,,4218.0,1321.0,9534.0,2207.0,1101.0,906.0,12555.0,10359.0,1174.0,1238.0,1304.0,102.0,7752.0,,7588.0,3209.0,7819.0,10197.0,1266.0,,,,2448.0,11217.0,3199.0,2287.0,832.0,707.0,672.0,2541.0,1347.0,1270.0,1499.0,,,,,2760.0,4650.0,1175.0,1546.0,1579.0,1009.0,737.0,4168.0,2244.0,1133.0,567.0,,1408.0,1849.0
,,634.0,10626.0,1002.0,98.0,,,,14020.0,2663.0,4727.0,609.0,705.0,871.0,604,1241.0,201.0,,,1502.0,2582.0,1973.0,1566.0,703.0,1310.0,3360.0,3155.0,1407.0,,11231.0,2181.0,2219.0,465.0,4414.0,2988.0,3550.0,,,,4216.0,1320.0,9534.0,2174.0,1069.0,872.0,12591.0,10358.0,1136.0,1171.0,1234.0,101.0,7586.0,,7620.0,3205.0,7785.0,10201.0,1234.0,,,,2418.0,11253.0,3198.0,2250.0,800.0,667.0,637.0,2478.0,1273.0,1138.0,1331.0,,,,,2760.0,4649.0,1177.0,1546.0,1579.0,973.0,699.0,4128.0,2213.0,1099.0,499.0,,1241.0,1783.0
