Variable,N,Mean,SD,SE,95% Conf.,Interval,N,Mean,SD,SE,95% Conf.,Interval,N
20,2,3905,1981.3,1401,-13896.4,21706.4,2,3905,1981.3,1401,-13896.4,21706.4,0
20.1.1.1,2,7419.5,6289.7,4447.5,-49091.3,63930.3,2,7419.5,6289.7,4447.5,-49091.3,63930.3,0
20.1.1.1.1,2,7294,1535.8,1086,-6504.9,21092.9,2,7294,1535.8,1086,-6504.9,21092.9,0
20.1.1.1.1.1,4,9446.5,8349.3,4174.6,-3839.1,22732.1,4,9446.5,8349.3,4174.6,-3839.1,22732.1,0
20.1.1.1.1.1.1,4,7950.2,9499.4,4749.7,-7165.3,23065.8,4,7950.2,9499.4,4749.7,-7165.3,23065.8,0
30,25,1710.5,2108.3,421.7,840.2,2580.7,25,1710.5,2108.3,421.7,840.2,2580.7,0
30.1.1,34,2305.8,2287.7,392.3,1507.6,3104,34,2305.8,2287.7,392.3,1507.6,3104,0
30.1.1.1,33,1475.1,1425.1,248.1,969.7,1980.4,33,1475.1,1425.1,248.1,969.7,1980.4,0
30.1.1.1.1,7,3223.4,3767,1423.8,-260.5,6707.3,7,3223.4,3767,1423.8,-260.5,6707.3,0
30.1.1.1.1.1,20,1873.8,1499.4,335.3,1172.1,2575.6,20,1873.8,1499.4,335.3,1172.1,2575.6,0
31,42,1845.6,412.6,63.7,1717,1974.2,42,1845.6,412.6,63.7,1717,1974.2,0
31.1,12,8546.2,4767.7,1376.3,5517,11575.5,12,8546.2,4767.7,1376.3,5517,11575.5,0
31.1.1,21,3517.9,1301.3,284,2925.5,4110.3,21,3517.9,1301.3,284,2925.5,4110.3,0
31.1.1.1.1,34,3784.7,2000.9,343.1,3086.6,4482.8,34,3784.7,2000.9,343.1,3086.6,4482.8,0
31.1.1.1.1.1,20,34.8,1.2,0.3,34.2,35.3,19,34.5,0.7,0.2,34.2,34.9,5
32,30,81.7,38.5,7,67.3,96.1,30,81.7,38.5,7,67.3,96.1,0
32.1,53,120.5,508.9,69.9,-19.8,260.8,48,33.9,1.5,0.2,33.5,34.3,9.433962264
32.1.1.1,62,531.3,1788.3,227.1,77.2,985.5,53,34.7,1.1,0.2,34.4,35,14.51612903
32.1.1.1.1,46,1080.7,2907,428.6,217.4,1944,36,34.4,1.4,0.2,33.9,34.8,21.73913043
32.1.1.1.1.1,35,255.7,27,4.6,246.5,265,32,249.8,19.2,3.4,242.9,256.7,8.571428571
33,41,742.5,816.2,127.5,484.9,1000.1,38,564.9,490.1,79.5,403.8,726,7.317073171
33.1,30,38.1,13.2,2.4,33.2,43.1,28,34.9,1.3,0.3,34.3,35.4,6.666666667
33.1.1.1.1,56,58.5,146.9,19.6,19.2,97.9,49,34.5,1.1,0.2,34.2,34.8,12.5
33.1.1.1.1.1.1,47,1016.4,1175.3,171.4,671.3,1361.5,45,832.6,787.4,117.4,596,1069.1,4.255319149
33.1.1.1.1.1.1.1,18,898.7,806.8,190.2,497.5,1299.9,15,585.4,57.2,14.8,553.7,617.1,16.66666667
34,64,39.5,14.7,1.8,35.8,43.2,61,36.5,1.3,0.2,36.2,36.9,4.6875
34.1,54,38.4,9.7,1.3,35.7,41,45,36.6,0.8,0.1,36.3,36.8,16.66666667
34.1.1,55,69.5,219.7,29.6,10.1,129,49,36.4,1.4,0.2,36,36.8,10.90909091
34.1.1.1,45,1176.5,1453,216.6,740,1613,39,688.7,217.3,34.8,618.3,759.2,13.33333333
34.1.1.1.1,29,1686.8,138.7,25.8,1634,1739.6,29,1686.8,138.7,25.8,1634,1739.6,0
35,34,40.3,11.7,2,36.2,44.4,32,37.6,1.7,0.3,37,38.2,5.882352941
35.1.1,43,2833.9,373.8,57,2718.9,2948.9,41,2760,156,24.4,2710.7,2809.2,4.651162791
35.1.1.1,74,39.1,8.9,1,37,41.1,66,37.5,0.9,0.1,37.2,37.7,10.81081081
35.1.1.1.1,65,264.3,4.4,0.5,263.2,265.4,61,264.6,1.9,0.2,264.1,265.1,6.153846154
35.1.1.1.1.1,32,472.2,222.7,39.4,391.9,552.5,32,472.2,222.7,39.4,391.9,552.5,0
36.1,47,39.1,4.3,0.6,37.8,40.3,42,38.3,0.9,0.1,38.1,38.6,10.63829787
36.1.1,70,39.3,4.2,0.5,38.3,40.3,60,38.5,0.9,0.1,38.3,38.8,14.28571429
36.1.1.1,37,1053.7,426.2,70.1,911.6,1195.8,35,975.6,246.4,41.6,891,1060.3,5.405405405
36.1.1.1.1,56,42.2,18.8,2.5,37.2,47.3,51,38.5,0.9,0.1,38.2,38.8,8.928571429
36.1.1.1.1.1,42,42.7,17.9,2.8,37.1,48.3,38,38.4,1.4,0.2,38,38.9,9.523809524
37,51,39.4,1.4,0.2,39,39.7,49,39.4,1.1,0.2,39.1,39.7,3.921568627
37.1,57,1356.7,886.8,117.5,1121.4,1592,49,1083.8,612.6,87.5,907.9,1259.8,14.03508772
