Variable,N,Mean,SD,SE,95% Conf.,Interval,Variable2,N,Mean,SD,SE,95% Conf.,Interval,N
20,3,4056,6483.3,3743.1,-12049.4,20161.4,20,3,4056,6483.3,3743.1,-12049.4,20161.4,0
20.1,0,,,,,,20.1,0,,,,,,
20.1.1,0,,,,,,20.1.1,0,,,,,,
20.1.1.1,1,169,,,,,20.1.1.1,1,169,,,,,0
20.1.1.1.1,1,8044,,,,,20.1.1.1.1,1,8044,,,,,0
30,13,3716.9,5908.6,1638.7,146.4,7287.4,30,11,1576.4,2866.1,864.2,-349.1,3501.9,15.38461538
30.1,50,7163.3,7445.2,1052.9,5047.4,9279.2,30.1,46,5551.7,5154.5,760,4021,7082.4,8
30.1.1.1,16,7572.4,3409.6,852.4,5755.5,9389.2,30.1.1.1,16,7572.4,3409.6,852.4,5755.5,9389.2,0
30.1.1.1.1,33,3645.9,3206.8,558.2,2508.8,4783,30.1.1.1.1,33,3645.9,3206.8,558.2,2508.8,4783,0
30.1.1.1.1.1,7,15136.1,6317.6,2387.8,9293.4,20978.9,30.1.1.1.1.1,7,15136.1,6317.6,2387.8,9293.4,20978.9,0
31,26,1444.6,3370.3,661,83.3,2805.9,31,20,35.2,7.6,1.7,31.7,38.8,23.07692308
31.1,52,836.5,2591.8,359.4,114.9,1558,31.1,40,33.4,1.2,0.2,33,33.8,23.07692308
31.1.1,18,8220.9,1974,465.3,7239.3,9202.6,31.1.1,18,8220.9,1974,465.3,7239.3,9202.6,0
31.1.1.1,0,,,,,,31.1.1.1,0,,,,,,
31.1.1.1.1,56,1185.4,3694.2,493.7,196.1,2174.7,31.1.1.1.1,48,33.8,0.9,0.1,33.5,34,14.28571429
32,26,4058.5,4104.1,804.9,2400.8,5716.2,32,26,4058.5,4104.1,804.9,2400.8,5716.2,0
32.1,36,324.8,450.3,75,172.4,477.1,32.1,24,243.2,1.7,0.4,242.5,243.9,33.33333333
32.1.1,35,1845.5,1701.2,287.6,1261.2,2429.9,32.1.1,34,1595,847.4,145.3,1299.3,1890.7,2.857142857
32.1.1.1,33,480,921.3,160.4,153.3,806.6,32.1.1.1,30,270.4,34.1,6.2,257.6,283.1,9.090909091
32.1.1.1.1,63,1187.9,3261.9,411,366.4,2009.4,32.1.1.1.1,51,36.9,8.9,1.2,34.4,39.4,19.04761905
33,43,2158.7,861.7,131.4,1893.5,2423.8,33,37,2000.6,37.5,6.2,1988.1,2013.1,13.95348837
33.1,35,41.9,20.6,3.5,34.8,49,33.1,31,35.5,1.5,0.3,34.9,36,11.42857143
33.1.1,11,8868.5,220.9,66.6,8720.1,9016.8,33.1.1,11,8868.5,220.9,66.6,8720.1,9016.8,0
33.1.1.1,35,5802.1,3288.7,555.9,4672.4,6931.8,33.1.1.1,30,4518.5,207.4,37.9,4441.1,4596,14.28571429
33.1.1.1.1,82,556.1,1824.6,201.5,155.2,957.1,33.1.1.1.1,72,35.9,1.6,0.2,35.5,36.2,12.19512195
34,58,113,496.6,65.2,-17.5,243.6,34,50,35,1.3,0.2,34.6,35.3,13.79310345
34.1,41,38.2,10,1.6,35.1,41.4,34.1,39,36.9,1.2,0.2,36.5,37.2,4.87804878
34.1.1,39,1454.2,453,72.5,1307.3,1601,34.1.1,37,1365.8,104.3,17.1,1331,1400.6,5.128205128
34.1.1.1,25,3881,153,30.6,3817.8,3944.2,34.1.1.1,20,3810.9,60.5,13.5,3782.6,3839.2,20
34.1.1.1.1,70,1565.9,3618.9,432.5,703,2428.8,34.1.1.1.1,57,49.3,25.6,3.4,42.5,56.1,18.57142857
35,42,1704.1,1366.4,210.8,1278.3,2129.9,35,41,1495.4,195.1,30.5,1433.8,1557,2.380952381
35.1,50,52,42.4,6,39.9,64,35.1,42,37,1.6,0.3,36.5,37.5,16
35.1.1,30,5508.3,166.7,30.4,5446,5570.5,35.1.1,30,5508.3,166.7,30.4,5446,5570.5,0
35.1.1.1,82,44.2,32.4,3.6,37.1,51.4,35.1.1.1,65,37.5,0.9,0.1,37.3,37.7,20.73170732
35.1.1.1.1,101,38.1,10.4,1,36.1,40.2,35.1.1.1.1,99,36.9,1.4,0.1,36.6,37.1,1.98019802
36,1,17088,,,,,36,1,17088,,,,,0
36.1,48,42.3,16.7,2.4,37.5,47.2,36.1,43,38.6,1.2,0.2,38.3,39,10.41666667
36.1.1,19,9194.6,81.4,18.7,9155.4,9233.9,36.1.1,19,9194.6,81.4,18.7,9155.4,9233.9,0
36.1.1.1,50,39.5,8.7,1.2,37,41.9,36.1.1.1,49,38.2,1.4,0.2,37.8,38.6,2
36.1.1.1.1,69,442.8,1872.9,225.5,-7.2,892.7,36.1.1.1.1,66,134.4,153.3,18.9,96.7,172.1,4.347826087
37,40,7345.4,4620,730.5,5867.8,8822.9,37,38,6730.7,3832.2,621.7,5471.1,7990.3,5
37.1,48,40.5,4.1,0.6,39.3,41.6,37.1,46,39.7,1.3,0.2,39.4,40.1,4.166666667
37.1.1,103,39.4,7.1,0.7,38,40.8,37.1.1,88,38.4,0.9,0.1,38.2,38.6,14.5631068
37.1.1.1,35,44.9,19,3.2,38.4,51.5,37.1.1.1,31,40,1.3,0.2,39.5,40.4,11.42857143
37.1.1.1.1,72,39.6,8.8,1,37.5,41.6,37.1.1.1.1,68,38,1.2,0.1,37.7,38.3,5.555555556
38,22,4223.8,1474.5,314.4,3570,4877.6,38,22,4223.8,1474.5,314.4,3570,4877.6,0
38.1,34,65,63.5,10.9,42.8,87.2,38.1,27,40.7,1.1,0.2,40.3,41.2,20.58823529
38.1.1,26,42.4,11.7,2.3,37.7,47.1,38.1.1,24,40.4,1.6,0.3,39.7,41.1,7.692307692
38.1.1.1,0,,,,,,38.1.1.1,0,,,,,,
38.1.1.1.1,118,41.3,5.4,0.5,40.3,42.3,38.1.1.1.1,115,40.9,1.4,0.1,40.6,41.1,2.542372881
39,27,9179.9,1178.6,226.8,8713.6,9646.1,39,27,9179.9,1178.6,226.8,8713.6,9646.1,0
39.1,57,42.6,7.5,1,40.6,44.6,39.1,49,41.7,0.9,0.1,41.4,41.9,14.03508772
39.1.1,28,311.8,82.5,15.6,279.7,343.8,39.1.1,21,286.6,4.9,1.1,284.4,288.9,25
39.1.1.1,33,43.9,11.2,2,40,47.9,39.1.1.1,31,41.4,1.4,0.2,40.9,41.9,6.060606061
39.1.1.1.1,80,42.6,4.2,0.5,41.6,43.5,39.1.1.1.1,78,41.9,1.2,0.1,41.7,42.2,2.5
40,34,11343.8,1835.5,314.8,10703.3,11984.2,40,34,11343.8,1835.5,314.8,10703.3,11984.2,0
40.1,25,3120.9,217,43.4,3031.3,3210.5,40.1,25,3120.9,217,43.4,3031.3,3210.5,0
40.1.1,85,268.3,387,42,184.8,351.7,40.1.1,74,144.3,221,25.7,93.1,195.5,12.94117647
40.1.1.1,32,3187.6,286,50.6,3084.5,3290.7,40.1.1.1,32,3187.6,286,50.6,3084.5,3290.7,0
40.1.1.1.1,62,89.7,116.3,14.8,60.2,119.3,40.1.1.1.1,48,42.2,1.3,0.2,41.9,42.6,22.58064516
41,21,46.3,13.3,2.9,40.2,52.4,41,19,44.1,1.6,0.4,43.3,44.8,9.523809524
41.1,41,84.8,111.3,17.4,49.7,120,41.1,32,42.8,1.5,0.3,42.2,43.3,21.95121951
41.1.1,31,306.2,26.6,4.8,296.4,315.9,41.1.1,24,306.5,1.9,0.4,305.6,307.3,22.58064516
42,63,44.7,3.8,0.5,43.8,45.7,42,53,44.7,1,0.1,44.4,44.9,15.87301587
42.1,13,9108.2,97.6,27.1,9049.3,9167.2,42.1,12,9124.8,80.5,23.2,9073.7,9176,7.692307692
42.1.1,0,,,,,,42.1.1,0,,,,,,
43,42,4265.2,3113.4,480.4,3295,5235.4,43,26,3278,330.7,64.9,3144.5,3411.6,38.0952381
43.1,50,47.6,9.7,1.4,44.8,50.3,43.1,46,45.8,1.3,0.2,45.4,46.2,8
43.1.1,63,316.5,12.2,1.5,313.4,319.6,43.1.1,60,317.8,3,0.4,317,318.5,4.761904762
43.1.1.1,50,49.3,19,2.7,43.9,54.7,43.1.1.1,48,45.7,1.3,0.2,45.3,46.1,4
43.1.1.1.1,73,46.1,3.8,0.4,45.2,47,43.1.1.1.1,70,45.8,1.3,0.2,45.4,46.1,4.109589041
45,37,9050.8,1397.6,229.8,8584.8,9516.8,45,29,8374.9,278.5,51.7,8269,8480.9,21.62162162
45.1,11,1705.8,212,63.9,1563.4,1848.2,45.1,11,1705.8,212,63.9,1563.4,1848.2,0
45.1.1,63,49.4,11.8,1.5,46.5,52.4,45.1.1,60,47.2,1.5,0.2,46.9,47.6,4.761904762
45.1.1.1,49,203.7,278.5,39.8,123.7,283.7,45.1.1.1,41,93.7,112,17.5,58.4,129.1,16.32653061
45.1.1.1.1,69,48.8,7.3,0.9,47,50.5,45.1.1.1.1,61,47.4,1,0.1,47.2,47.7,11.5942029
47,42,48.9,2.8,0.4,48,49.7,47,37,49.5,0.8,0.1,49.3,49.8,11.9047619
47.1,37,49.6,2.1,0.3,48.9,50.3,47.1,36,49.9,1.1,0.2,49.5,50.2,2.702702703
