Variable,N,Mean,SD,SE,95% Conf.,Interval,Variable2,N,Mean,SD,SE,95% Conf.,Interval,N
20,2,16056.5,10038.8,7098.5,-74138.5,106251.5,20,2,16056.5,10038.8,7098.5,-74138.5,106251.5,0
30,4,9933.5,6604.2,3302.1,-575.3,20442.3,30,4,9933.5,6604.2,3302.1,-575.3,20442.3,0
31,3,6071,2908.7,1679.4,-1154.7,13296.7,31,3,6071,2908.7,1679.4,-1154.7,13296.7,0
32,12,13277,7117.9,2054.7,8754.5,17799.5,32,12,13277,7117.9,2054.7,8754.5,17799.5,0
33,28,5520,2778.9,525.2,4442.5,6597.5,33,28,5520,2778.9,525.2,4442.5,6597.5,0
34,43,6425.2,2578,393.1,5631.8,7218.6,34,42,6244.2,2316.1,357.4,5522.4,6965.9,2.325581395
35,39,5087.1,3158.7,505.8,4063.1,6111,35,38,4739.3,2324.7,377.1,3975.2,5503.4,2.564102564
36,34,1997.1,3002.2,514.9,949.6,3044.6,36,31,1206.8,130.9,23.5,1158.8,1254.9,8.823529412
37,42,2755.6,332.8,51.3,2651.9,2859.3,37,41,2708.6,135.1,21.1,2665.9,2751.2,2.380952381
38,42,910.5,325.3,50.2,809.1,1011.8,38,42,910.5,325.3,50.2,809.1,1011.8,0
39,44,4701.9,5115.9,771.3,3146.5,6257.2,39,44,4701.9,5115.9,771.3,3146.5,6257.2,0
40,39,2642.6,1959.3,313.7,2007.5,3277.8,40,37,2197.5,283.8,46.6,2102.9,2292.1,5.128205128
41,30,8079.9,70,12.8,8053.7,8106,41,30,8079.9,70,12.8,8053.7,8106,0
42,21,12473.3,75.5,16.5,12438.9,12507.7,42,21,12473.3,75.5,16.5,12438.9,12507.7,0
43,42,1580.8,627.1,96.8,1385.4,1776.2,43,41,1530.3,541.5,84.6,1359.4,1701.2,2.380952381
45,66,252.7,354.7,43.7,165.5,339.9,45,58,143.9,205.1,26.9,90,197.9,12.12121212
47,41,1333.5,755.8,118,1094.9,1572,47,41,1333.5,755.8,118,1094.9,1572,0
50.1,50,531.4,593.1,83.9,362.8,700,50.1,50,531.4,593.1,83.9,362.8,700,0
100,34,675.1,756.1,129.7,411.3,938.9,100,34,675.1,756.1,129.7,411.3,938.9,0
200,39,962.2,1024.8,164.1,630,1294.4,200,39,962.2,1024.8,164.1,630,1294.4,0
