Variable,N,Mean,SD,SE,95% Conf.,Interval,Variable2,N,Mean,SD,SE,95% Conf.,Interval,N
20,0,,,,,,20,0,,,,,,
20.1,0,,,,,,20.1,0,,,,,,
20.1.1,0,,,,,,20.1.1,0,,,,,,
20.1.1.1,0,,,,,,20.1.1.1,0,,,,,,
20.1.1.1.1,1,7697,,,,,20.1.1.1.1,1,7697,,,,,0
,,,,,,,,,,,,,,
30,4,10874.5,6952.9,3476.5,-189.1,21938.1,30,4,10874.5,6952.9,3476.5,-189.1,21938.1,0
30.1,3,10811,7044.5,4067.1,-6688.5,28310.5,30.1,3,10811,7044.5,4067.1,-6688.5,28310.5,0
30.1.1,3,7643.3,5060.4,2921.6,-4927.4,20214.1,30.1.1,3,7643.3,5060.4,2921.6,-4927.4,20214.1,0
30.1.1.1,2,6992.5,3261.9,2306.5,-22314.4,36299.4,30.1.1.1,2,6992.5,3261.9,2306.5,-22314.4,36299.4,0
30.1.1.1.1,2,6311.5,2157.4,1525.5,-13071.8,25694.8,30.1.1.1.1,2,6311.5,2157.4,1525.5,-13071.8,25694.8,0
31,2,4117,2511.6,1776,-18449.2,26683.2,31,2,4117,2511.6,1776,-18449.2,26683.2,0
31.1,4,7991.8,5169.3,2584.7,-233.8,16217.3,31.1,4,7991.8,5169.3,2584.7,-233.8,16217.3,0
31.1.1,1,10118,,,,,31.1.1,1,10118,,,,,0
31.1.1.1,4,6334,3987,1993.5,-10.1,12678.1,31.1.1.1,4,6334,3987,1993.5,-10.1,12678.1,0
31.1.1.1.1,4,5801.8,3482,1741,261,11342.5,31.1.1.1.1,4,5801.8,3482,1741,261,11342.5,0
32,10,7617,4181.9,1322.4,4625.4,10608.6,32,10,7617,4181.9,1322.4,4625.4,10608.6,0
32.1,15,8717.4,7987.8,2062.4,4293.9,13140.9,32.1,15,8717.4,7987.8,2062.4,4293.9,13140.9,0
32.1.1,3,9974,1210.5,698.9,6966.8,12981.2,32.1.1,3,9974,1210.5,698.9,6966.8,12981.2,0
32.1.1.1,6,5600.7,3281.9,1339.8,2156.5,9044.8,32.1.1.1,6,5600.7,3281.9,1339.8,2156.5,9044.8,0
32.1.1.1.1,11,5779.4,3701.1,1115.9,3292.9,8265.8,32.1.1.1.1,11,5779.4,3701.1,1115.9,3292.9,8265.8,0
33,29,2899.6,631.4,117.2,2659.5,3139.8,33,28,2786.6,171.2,32.4,2720.2,2853,3.448275862
33.1,22,6558.7,3350.6,714.4,5073.1,8044.3,33.1,22,6558.7,3350.6,714.4,5073.1,8044.3,0
33.1.1,20,3993.2,726.8,162.5,3653.1,4333.4,33.1.1,12,4217.2,1.8,0.5,4216.1,4218.4,40
33.1.1.1,21,2777,36,7.8,2760.7,2793.4,33.1.1.1,18,2763.8,4.3,1,2761.7,2766,14.28571429
33.1.1.1.1,31,1354.8,505.5,90.8,1169.4,1540.2,33.1.1.1.1,24,1237.4,2.4,0.5,1236.4,1238.4,22.58064516
34,44,2982.7,159.2,24,2934.3,3031.1,34,33,2960.7,61.2,10.7,2939,2982.4,25
34.1,13,1317.5,6.6,1.8,1313.5,1321.5,34.1,11,1316.9,2.9,0.9,1315,1318.8,15.38461538
34.1.1,31,7837.6,303.8,54.6,7726.2,7949,34.1.1,31,7837.6,303.8,54.6,7726.2,7949,0
34.1.1.1,19,4637.3,38.9,8.9,4618.5,4656,34.1.1.1,19,4637.3,38.9,8.9,4618.5,4656,0
34.1.1.1.1,34,2539.5,991.7,170.1,2193.5,2885.5,34.1.1.1.1,34,2539.5,991.7,170.1,2193.5,2885.5,0
